DayIndex,bounce,duration,session,pags_sess,conv,value,month,day,year,y_mo
1/26/2018,100.00%,0,1,1,0,0,1,26,2018,2018-1
1/27/2018,100.00%,0,1,1,0,0,1,27,2018,2018-1
1/28/2018,100.00%,0,1,1,0,0,1,28,2018,2018-1
1/29/2018,100.00%,0,1,1,0,0,1,29,2018,2018-1
1/30/2018,100.00%,0,1,1,0,0,1,30,2018,2018-1
1/31/2018,100.00%,0,1,1,0,0,1,31,2018,2018-1
2/1/2018,100.00%,0,1,1,0,0,2,1,2018,2018-2
2/2/2018,100.00%,0,1,1,0,0,2,2,2018,2018-2
2/3/2018,100.00%,0,1,1,0,0,2,3,2018,2018-2
2/4/2018,100.00%,0,1,1,0,0,2,4,2018,2018-2
2/5/2018,100.00%,0,1,1,0,0,2,5,2018,2018-2
2/6/2018,100.00%,0,1,1,0,0,2,6,2018,2018-2
2/7/2018,100.00%,0,1,1,0,0,2,7,2018,2018-2
2/8/2018,100.00%,0,1,1,0,0,2,8,2018,2018-2
2/9/2018,100.00%,0,1,1,0,0,2,9,2018,2018-2
2/10/2018,100.00%,0,1,1,0,0,2,10,2018,2018-2
2/11/2018,100.00%,0,1,1,0,0,2,11,2018,2018-2
2/12/2018,100.00%,0,1,1,0,0,2,12,2018,2018-2
2/13/2018,100.00%,0,1,1,0,0,2,13,2018,2018-2
2/14/2018,100.00%,0,1,1,0,0,2,14,2018,2018-2
2/15/2018,100.00%,0,1,1,0,0,2,15,2018,2018-2
2/16/2018,100.00%,0,1,1,0,0,2,16,2018,2018-2
2/17/2018,100.00%,0,1,1,0,0,2,17,2018,2018-2
2/18/2018,100.00%,0,1,1,0,0,2,18,2018,2018-2
2/19/2018,100.00%,0,1,1,0,0,2,19,2018,2018-2
2/20/2018,100.00%,0,1,1,0,0,2,20,2018,2018-2
2/21/2018,100.00%,0,1,1,0,0,2,21,2018,2018-2
2/22/2018,100.00%,0,1,1,0,0,2,22,2018,2018-2
2/23/2018,100.00%,0,2,1,0,0,2,23,2018,2018-2
2/24/2018,100.00%,0,1,1,1,50,2,24,2018,2018-2
2/25/2018,100.00%,0,1,1,0,0,2,25,2018,2018-2
2/26/2018,100.00%,0,1,1,0,0,2,26,2018,2018-2
2/27/2018,100.00%,0,1,1,0,0,2,27,2018,2018-2
2/28/2018,100.00%,0,1,1,0,0,2,28,2018,2018-2
3/1/2018,100.00%,0,1,1,0,0,3,1,2018,2018-3
3/2/2018,100.00%,0,1,1,0,0,3,2,2018,2018-3
3/3/2018,100.00%,0,1,1,0,0,3,3,2018,2018-3
3/4/2018,100.00%,0,1,1,0,0,3,4,2018,2018-3
3/5/2018,100.00%,0,1,1,0,0,3,5,2018,2018-3
3/6/2018,100.00%,0,1,1,0,0,3,6,2018,2018-3
3/7/2018,100.00%,0,1,1,0,0,3,7,2018,2018-3
3/8/2018,100.00%,0,1,1,0,0,3,8,2018,2018-3
3/9/2018,100.00%,0,1,1,0,0,3,9,2018,2018-3
3/10/2018,100.00%,0,1,1,0,0,3,10,2018,2018-3
3/11/2018,100.00%,0,1,1,0,0,3,11,2018,2018-3
3/12/2018,100.00%,0,1,1,0,0,3,12,2018,2018-3
3/13/2018,100.00%,0,1,1,0,0,3,13,2018,2018-3
3/14/2018,100.00%,0,2,1,0,0,3,14,2018,2018-3
3/15/2018,100.00%,0,1,1,0,0,3,15,2018,2018-3
3/16/2018,100.00%,0,1,1,0,0,3,16,2018,2018-3
3/17/2018,100.00%,0,1,1,0,0,3,17,2018,2018-3
3/18/2018,100.00%,0,1,1,0,0,3,18,2018,2018-3
3/19/2018,100.00%,0,1,1,0,0,3,19,2018,2018-3
3/20/2018,100.00%,0,1,1,0,0,3,20,2018,2018-3
3/21/2018,100.00%,0,1,1,1,50,3,21,2018,2018-3
3/22/2018,100.00%,0,1,1,1,50,3,22,2018,2018-3
3/23/2018,100.00%,0,1,1,1,50,3,23,2018,2018-3
3/24/2018,100.00%,0,1,1,1,50,3,24,2018,2018-3
3/25/2018,100.00%,0,1,1,1,50,3,25,2018,2018-3
3/26/2018,100.00%,0,1,1,1,50,3,26,2018,2018-3
3/27/2018,100.00%,0,1,1,0,0,3,27,2018,2018-3
3/28/2018,100.00%,0,1,1,1,50,3,28,2018,2018-3
3/29/2018,100.00%,0,1,1,0,0,3,29,2018,2018-3
3/30/2018,100.00%,0,1,1,1,50,3,30,2018,2018-3
3/31/2018,100.00%,0,1,1,0,0,3,31,2018,2018-3
4/1/2018,100.00%,0,1,1,0,0,4,1,2018,2018-4
4/2/2018,100.00%,0,1,1,0,0,4,2,2018,2018-4
4/3/2018,100.00%,0,1,1,0,0,4,3,2018,2018-4
4/4/2018,100.00%,0,2,1,0,0,4,4,2018,2018-4
4/5/2018,100.00%,0,1,1,0,0,4,5,2018,2018-4
4/6/2018,100.00%,0,1,1,0,0,4,6,2018,2018-4
4/7/2018,100.00%,0,1,1,0,0,4,7,2018,2018-4
4/8/2018,100.00%,0,1,1,0,0,4,8,2018,2018-4
4/9/2018,100.00%,0,1,1,0,0,4,9,2018,2018-4
4/10/2018,100.00%,0,1,1,0,0,4,10,2018,2018-4
4/11/2018,100.00%,0,1,1,0,0,4,11,2018,2018-4
4/12/2018,100.00%,0,1,1,0,0,4,12,2018,2018-4
4/13/2018,100.00%,0,1,1,0,0,4,13,2018,2018-4
4/14/2018,100.00%,0,2,1,0,0,4,14,2018,2018-4
4/15/2018,100.00%,0,1,1,0,0,4,15,2018,2018-4
4/16/2018,100.00%,0,1,1,0,0,4,16,2018,2018-4
4/17/2018,100.00%,0,1,1,0,0,4,17,2018,2018-4
4/18/2018,100.00%,0,1,1,1,50,4,18,2018,2018-4
4/19/2018,100.00%,0,1,1,1,50,4,19,2018,2018-4
4/20/2018,100.00%,0,1,1,0,0,4,20,2018,2018-4
4/21/2018,100.00%,0,1,1,1,50,4,21,2018,2018-4
4/22/2018,100.00%,0,1,1,0,0,4,22,2018,2018-4
4/23/2018,100.00%,0,1,1,1,50,4,23,2018,2018-4
4/24/2018,100.00%,0,1,1,1,50,4,24,2018,2018-4
4/25/2018,100.00%,0,1,1,0,0,4,25,2018,2018-4
4/26/2018,100.00%,0,1,1,1,100,4,26,2018,2018-4
4/27/2018,100.00%,0,1,1,1,100,4,27,2018,2018-4
4/28/2018,100.00%,0,1,1,1,100,4,28,2018,2018-4
4/29/2018,100.00%,0,1,1,1,50,4,29,2018,2018-4
4/30/2018,0.00%,11,1,2,0,0,4,30,2018,2018-4
5/1/2018,0.00%,32,1,1,0,0,5,1,2018,2018-5
5/2/2018,0.00%,19,1,1,0,0,5,2,2018,2018-5
5/3/2018,0.00%,1831,1,1,0,0,5,3,2018,2018-5
5/4/2018,0.00%,1410,1,1,1,50,5,4,2018,2018-5
5/5/2018,0.00%,0,0,0,1,50,5,5,2018,2018-5
5/6/2018,0.00%,35,1,2,1,50,5,6,2018,2018-5
5/7/2018,0.00%,1530,1,1,0,0,5,7,2018,2018-5
5/8/2018,0.00%,1256,1,1,0,0,5,8,2018,2018-5
5/9/2018,0.00%,1236,1,1,0,0,5,9,2018,2018-5
5/10/2018,0.00%,0,1,2,0,0,5,10,2018,2018-5
5/11/2018,0.00%,236,1,4,0,0,5,11,2018,2018-5
5/12/2018,0.00%,0,0,0,1,50,5,12,2018,2018-5
5/13/2018,0.00%,1060,1,1,0,0,5,13,2018,2018-5
5/14/2018,0.00%,38,1,2,0,0,5,14,2018,2018-5
5/15/2018,0.00%,1103,1,1,0,0,5,15,2018,2018-5
5/16/2018,0.00%,413,1,1,0,0,5,16,2018,2018-5
5/17/2018,0.00%,36,1,1,0,0,5,17,2018,2018-5
5/18/2018,0.00%,26,1,2,0,0,5,18,2018,2018-5
5/19/2018,0.00%,153,1,1,0,0,5,19,2018,2018-5
5/20/2018,0.00%,95,1,2,0,0,5,20,2018,2018-5
5/21/2018,0.00%,267,1,1,0,0,5,21,2018,2018-5
5/22/2018,0.00%,64,1,1,0,0,5,22,2018,2018-5
5/23/2018,0.00%,397,1,1,1,100,5,23,2018,2018-5
5/24/2018,0.00%,16,1,4,1,100,5,24,2018,2018-5
5/25/2018,0.00%,384,1,1,0,0,5,25,2018,2018-5
5/26/2018,0.00%,0,0,0,1,100,5,26,2018,2018-5
5/27/2018,100.00%,0,1,1,0,0,5,27,2018,2018-5
5/28/2018,100.00%,0,1,1,0,0,5,28,2018,2018-5
5/29/2018,100.00%,0,1,1,0,0,5,29,2018,2018-5
5/30/2018,100.00%,0,1,1,0,0,5,30,2018,2018-5
5/31/2018,100.00%,0,1,1,0,0,5,31,2018,2018-5
6/1/2018,100.00%,0,1,1,0,0,6,1,2018,2018-6
6/2/2018,100.00%,0,1,1,0,0,6,2,2018,2018-6
