,date,variable,value
0,1/23/20,Brazil,0
1,1/24/20,Brazil,0
2,1/25/20,Brazil,0
3,1/26/20,Brazil,0
4,1/27/20,Brazil,0
5,1/28/20,Brazil,0
6,1/29/20,Brazil,0
7,1/30/20,Brazil,0
8,1/31/20,Brazil,0
9,2/1/20,Brazil,0
10,2/2/20,Brazil,0
11,2/3/20,Brazil,0
12,2/4/20,Brazil,0
13,2/5/20,Brazil,0
14,2/6/20,Brazil,0
15,2/7/20,Brazil,0
16,2/8/20,Brazil,0
17,2/9/20,Brazil,0
18,2/10/20,Brazil,0
19,2/11/20,Brazil,0
20,2/12/20,Brazil,0
21,2/13/20,Brazil,0
22,2/14/20,Brazil,0
23,2/15/20,Brazil,0
24,2/16/20,Brazil,0
25,2/17/20,Brazil,0
26,2/18/20,Brazil,0
27,2/19/20,Brazil,0
28,2/20/20,Brazil,0
29,2/21/20,Brazil,0
30,2/22/20,Brazil,0
31,2/23/20,Brazil,0
32,2/24/20,Brazil,0
33,2/25/20,Brazil,0
34,2/26/20,Brazil,1
35,2/27/20,Brazil,0
36,2/28/20,Brazil,0
37,2/29/20,Brazil,1
38,3/1/20,Brazil,0
39,3/2/20,Brazil,0
40,3/3/20,Brazil,0
41,3/4/20,Brazil,2
42,3/5/20,Brazil,0
43,3/6/20,Brazil,9
44,3/7/20,Brazil,0
45,3/8/20,Brazil,7
46,3/9/20,Brazil,5
47,3/10/20,Brazil,6
48,3/11/20,Brazil,7
49,3/12/20,Brazil,14
50,3/13/20,Brazil,99
51,3/14/20,Brazil,0
52,3/15/20,Brazil,11
53,3/16/20,Brazil,38
54,3/17/20,Brazil,121
55,3/18/20,Brazil,51
56,3/19/20,Brazil,249
57,3/20/20,Brazil,172
58,3/21/20,Brazil,228
59,3/22/20,Brazil,525
60,3/23/20,Brazil,378
61,3/24/20,Brazil,323
62,3/25/20,Brazil,307
63,3/26/20,Brazil,431
64,3/27/20,Brazil,432
65,3/28/20,Brazil,487
66,3/29/20,Brazil,352
67,3/30/20,Brazil,323
68,3/31/20,Brazil,1138
69,4/1/20,Brazil,1119
70,4/2/20,Brazil,1208
71,4/3/20,Brazil,1012
72,4/4/20,Brazil,1304
73,4/5/20,Brazil,770
74,4/6/20,Brazil,1031
75,4/7/20,Brazil,1873
76,4/8/20,Brazil,2136
77,4/9/20,Brazil,1922
78,4/10/20,Brazil,1546
79,4/11/20,Brazil,1089
80,4/12/20,Brazil,1465
81,4/13/20,Brazil,1238
82,4/14/20,Brazil,1832
83,4/15/20,Brazil,3058
84,4/16/20,Brazil,2105
85,4/17/20,Brazil,3257
86,4/18/20,Brazil,2976
87,4/19/20,Brazil,1996
88,4/20/20,Brazil,2089
89,4/21/20,Brazil,2336
90,4/22/20,Brazil,2678
91,4/23/20,Brazil,4279
92,4/24/20,Brazil,4007
93,4/25/20,Brazil,5281
94,4/26/20,Brazil,3776
95,4/27/20,Brazil,4346
96,4/28/20,Brazil,5789
97,4/29/20,Brazil,6450
98,4/30/20,Brazil,7502
99,5/1/20,Brazil,5015
100,5/2/20,Brazil,4898
101,5/3/20,Brazil,4726
102,5/4/20,Brazil,6794
103,5/5/20,Brazil,6835
104,5/6/20,Brazil,11156
105,5/7/20,Brazil,9162
106,5/8/20,Brazil,11121
107,5/9/20,Brazil,9167
108,5/10/20,Brazil,6638
109,5/11/20,Brazil,6895
110,5/12/20,Brazil,8620
111,5/13/20,Brazil,11923
112,5/14/20,Brazil,13028
113,5/15/20,Brazil,17126
114,5/16/20,Brazil,13220
115,5/17/20,Brazil,7569
116,5/18/20,Brazil,14288
117,5/19/20,Brazil,16517
118,5/20/20,Brazil,19694
119,5/21/20,Brazil,18508
120,5/22/20,Brazil,20803
121,5/23/20,Brazil,16508
122,5/24/20,Brazil,15813
123,5/25/20,Brazil,11687
124,5/26/20,Brazil,16324
125,5/27/20,Brazil,20599
126,5/28/20,Brazil,26417
127,5/29/20,Brazil,26928
128,5/30/20,Brazil,33274
129,5/31/20,Brazil,16409
130,6/1/20,Brazil,11598
131,6/2/20,Brazil,28936
132,6/3/20,Brazil,28633
133,6/4/20,Brazil,30925
134,6/5/20,Brazil,30830
135,6/6/20,Brazil,27075
136,6/7/20,Brazil,18912
137,6/8/20,Brazil,15654
138,6/9/20,Brazil,32091
139,6/10/20,Brazil,32913
140,6/11/20,Brazil,30412
141,6/12/20,Brazil,25982
142,6/13/20,Brazil,21704
143,6/14/20,Brazil,17110
144,6/15/20,Brazil,20647
145,6/16/20,Brazil,34918
146,6/17/20,Brazil,32188
147,6/18/20,Brazil,22765
148,6/19/20,Brazil,54771
149,6/20/20,Brazil,34666
150,6/21/20,Brazil,15762
151,6/22/20,Brazil,23129
152,6/23/20,Brazil,39436
153,6/24/20,Brazil,42725
154,6/25/20,Brazil,39483
155,6/26/20,Brazil,46860
156,6/27/20,Brazil,38693
157,6/28/20,Brazil,30476
158,6/29/20,Brazil,24052
159,6/30/20,Brazil,33846
160,7/1/20,Brazil,46712
161,7/2/20,Brazil,48105
162,7/3/20,Brazil,42223
163,7/4/20,Brazil,37923
164,7/5/20,Brazil,26051
165,7/6/20,Brazil,20229
166,7/7/20,Brazil,45305
167,7/8/20,Brazil,44571
168,7/9/20,Brazil,42619
169,7/10/20,Brazil,45048
170,7/11/20,Brazil,39023
171,7/12/20,Brazil,24831
172,7/13/20,Brazil,20286
173,7/14/20,Brazil,41857
174,7/15/20,Brazil,39924
175,7/16/20,Brazil,45403
176,7/17/20,Brazil,34177
177,7/18/20,Brazil,28532
178,7/19/20,Brazil,23529
179,7/20/20,Brazil,20257
180,7/21/20,Brazil,41008
181,7/22/20,Brazil,67860
182,7/23/20,Brazil,59961
183,7/24/20,Brazil,55891
184,7/25/20,Brazil,51147
185,7/26/20,Brazil,24578
186,7/27/20,Brazil,23284
187,7/28/20,Brazil,40816
188,7/29/20,Brazil,69074
189,7/30/20,Brazil,57837
190,7/31/20,Brazil,52383
191,8/1/20,Brazil,45392
192,8/2/20,Brazil,25800
193,8/3/20,Brazil,16641
194,8/4/20,Brazil,51603
195,8/5/20,Brazil,57152
196,8/6/20,Brazil,53139
197,8/7/20,Brazil,50230
198,8/8/20,Brazil,49970
199,8/9/20,Brazil,23010
200,8/10/20,Brazil,22048
201,8/11/20,Brazil,52160
202,8/12/20,Brazil,55155
203,8/13/20,Brazil,60091
204,8/14/20,Brazil,50644
205,8/15/20,Brazil,41576
206,8/16/20,Brazil,23101
207,8/17/20,Brazil,19373
208,8/18/20,Brazil,47784
209,8/19/20,Brazil,49298
210,8/20/20,Brazil,45323
211,8/21/20,Brazil,30355
212,8/22/20,Brazil,50032
213,8/23/20,Brazil,23421
214,8/24/20,Brazil,17078
215,8/25/20,Brazil,47134
216,8/26/20,Brazil,47161
217,8/27/20,Brazil,44235
218,8/28/20,Brazil,43412
219,8/29/20,Brazil,41350
220,8/30/20,Brazil,16158
221,8/31/20,Brazil,45961
222,9/1/20,Brazil,42659
223,9/2/20,Brazil,46934
224,9/3/20,Brazil,43773
225,9/4/20,Brazil,50163
226,9/5/20,Brazil,31199
227,9/6/20,Brazil,14521
228,9/7/20,Brazil,10273
229,9/8/20,Brazil,14279
230,9/9/20,Brazil,35816
231,9/10/20,Brazil,40557
232,9/11/20,Brazil,43718
233,9/12/20,Brazil,33523
234,9/13/20,Brazil,14768
235,9/14/20,Brazil,15155
236,9/15/20,Brazil,36653
237,9/16/20,Brazil,36820
238,9/17/20,Brazil,36303
239,9/18/20,Brazil,39797
240,9/19/20,Brazil,33057
241,9/20/20,Brazil,16389
242,9/21/20,Brazil,13411
243,9/22/20,Brazil,33324
244,9/23/20,Brazil,0
245,9/24/20,Brazil,66338
246,9/25/20,Brazil,31911
247,9/26/20,Brazil,28378
248,9/27/20,Brazil,14318
249,9/28/20,Brazil,13155
250,9/29/20,Brazil,32058
251,9/30/20,Brazil,33413
252,10/1/20,Brazil,36157
253,10/2/20,Brazil,0
254,10/3/20,Brazil,59741
255,10/4/20,Brazil,8456
256,10/5/20,Brazil,11946
257,10/6/20,Brazil,41906
258,10/7/20,Brazil,31553
259,10/8/20,Brazil,27750
260,10/9/20,Brazil,27444
261,10/10/20,Brazil,26749
262,10/11/20,Brazil,12342
263,10/12/20,Brazil,8429
264,10/13/20,Brazil,10220
265,10/14/20,Brazil,27235
266,10/15/20,Brazil,28523
267,10/16/20,Brazil,30914
268,10/17/20,Brazil,24062
269,10/18/20,Brazil,0
270,10/19/20,Brazil,26365
271,10/20/20,Brazil,23227
272,10/21/20,Brazil,24818
273,10/22/20,Brazil,24858
274,10/23/20,Brazil,30026
275,10/24/20,Brazil,26979
276,10/25/20,Brazil,13493
277,10/26/20,Brazil,15726
278,10/27/20,Brazil,29787
279,10/28/20,Brazil,28629
280,10/29/20,Brazil,26106
281,10/30/20,Brazil,22282
282,10/31/20,Brazil,18947
283,11/1/20,Brazil,10100
284,11/2/20,Brazil,8501
285,11/3/20,Brazil,11843
286,11/4/20,Brazil,23976
287,11/5/20,Brazil,0
288,11/6/20,Brazil,41156
289,11/7/20,Brazil,22380
290,11/8/20,Brazil,10554
291,11/9/20,Brazil,10917
292,11/10/20,Brazil,23973
293,11/11/20,Brazil,48655
294,11/12/20,Brazil,33922
295,11/13/20,Brazil,29070
296,11/14/20,Brazil,38307
297,11/15/20,Brazil,14134
298,11/16/20,Brazil,13371
299,11/17/20,Brazil,35294
300,11/18/20,Brazil,34091
301,11/19/20,Brazil,35918
302,11/20/20,Brazil,38397
303,11/21/20,Brazil,32622
304,11/22/20,Brazil,18615
305,11/23/20,Brazil,16207
306,11/24/20,Brazil,31100
307,11/25/20,Brazil,47898
308,11/26/20,Brazil,37614
309,11/27/20,Brazil,34130
310,11/28/20,Brazil,51922
311,11/29/20,Brazil,24468
312,11/30/20,Brazil,21138
313,12/1/20,Brazil,50909
314,12/2/20,Brazil,49863
315,12/3/20,Brazil,50434
316,12/4/20,Brazil,46884
317,12/5/20,Brazil,43209
318,12/6/20,Brazil,26363
319,12/7/20,Brazil,20371
320,12/8/20,Brazil,51088
321,12/9/20,Brazil,53453
322,12/10/20,Brazil,53347
323,12/11/20,Brazil,54428
324,12/12/20,Brazil,43900
325,12/13/20,Brazil,21825
326,12/14/20,Brazil,25193
327,12/15/20,Brazil,42889
328,12/16/20,Brazil,70574
329,12/17/20,Brazil,69826
330,12/18/20,Brazil,52544
331,12/19/20,Brazil,50177
332,12/20/20,Brazil,25445
333,12/21/20,Brazil,25019
334,12/22/20,Brazil,55202
335,12/23/20,Brazil,46696
336,12/24/20,Brazil,58428
337,12/25/20,Brazil,24615
338,12/26/20,Brazil,17246
339,12/27/20,Brazil,18479
340,12/28/20,Brazil,20548
