continent,reg1,reg2,country,exp_pct_gdp,exp_public_pct,exp_out_pocket,exp_per_capita,exp_per_ppp,ext_health_exp,phys_per_1000,nurse_per_1000,surgical_per_1000,birth_reg,death_reg,pop,total_per_capita,total_per_ppp
Asia,,Southern Asia,Afghanistan,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0,42.3,,32890171,1881317781,5354519839
Europe,,Southern Europe,Albania,6.7,41.4,58,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53,2829741,768274681.5,2149754238
Africa,,Northern Africa,Algeria,6.6,67.7,30.9,260.4,998.2,0,1.8,2.2,12.1,100,,45400000,11822160000,45318280000
Europe,,Southern Europe,Andorra,10.4,49.1,41.7,3834.7,4978.7,,3.3,4,83.1,100,80,81057,310829277.9,403558485.9
Africa,Sub-Saharan Africa,Middle Africa,Angola,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,,25,,33086278,3149813666,6147430452
North America,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,4.3,60.6,32.2,623.1,976.4,0,2.8,3.1,14,,79,100772,62791033.2,98393780.8
South America,Latin America and the Caribbean,South America,Argentina,7.5,74.4,15.8,955.2,1531,0.6,4,2.6,50.1,100,100,46044703,43981900306,70494440293
Asia,,Western Asia,Armenia,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76,2963900,1063447320,2599043910
Oceania,,Australia and New Zealand,Australia,9.3,68.3,18.9,5002.4,4529.9,0,3.6,12.7,45.1,100,100,26043399,130279499158,117973993130
Europe,,Western Europe,Austria,10.4,72.5,18.9,4688.3,5295.2,,5.1,8.2,109.9,100,100,9090868,42620716444,48137964234
Asia,,Western Asia,Azerbaijan,6.9,20,78.9,268.2,1193.1,0.4,3.4,7,67.6,,,10215045,2739675069,12187570190
North America,Latin America and the Caribbean,Caribbean,Bahamas,6.4,49.9,27.7,1835.2,1435.6,0.4,1.9,3.1,,,93,393450,722059440,564836820
Asia,,Western Asia,Bahrain,4.9,61.4,28,1099.4,1866.3,0,0.9,2.5,14.4,,88,1501635,1650897519,2802501401
Asia,,Southern Asia,Bangladesh,2.4,18,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,,165158616,5648424667,14963370610
North America,Latin America and the Caribbean,Caribbean,Barbados,7,45.9,45.2,1163.8,1323,1.7,2.5,6,17.2,99,100,282000,328191600,373086000
Europe,,Eastern Europe,Belarus,6.3,61.4,35.8,318,1151.4,0.2,4.1,11.4,124.2,100,100,9255524,2943256632,10656810334
Europe,,Western Europe,Belgium,10,84.1,15.9,4149.4,4667.9,0,3.3,11.1,89.8,100,100,11730564,48674802262,54757099696
North America,Latin America and the Caribbean,Central America,Belize,6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96,100,441471,134030595.6,239012399.4
Africa,Sub-Saharan Africa,Western Africa,Benin,3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,,12506347,380192948.8,1044279975
Asia,,Southern Asia,Bhutan,3.5,74,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100,,763200,69680160,223693920
South America,Latin America and the Caribbean,South America,Bolivia,6.9,65.7,28,213,496.3,3.2,1.6,0.7,33.9,92,,12006031,2557284603,5958593185
Europe,,Southern Europe,Bosnia and Herzegovina,9.2,70.8,28.7,443.8,1123.4,0.2,2,6.3,32.3,,89,3320954,1473839385,3730759724
Africa,Sub-Saharan Africa,Southern Africa,Botswana,5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88,,2410338,915687406.2,2244747779
South America,Latin America and the Caribbean,South America,Brazil,11.8,33.2,43.6,1015.9,1777.5,0.1,2.1,9.7,55.5,96,93,215726537,219156588938,383453919518
Asia,,South-eastern Asia,Brunei,2.3,94.9,5.1,630.6,1812.4,0,1.8,6.6,,,89,429999,271157369.4,779330187.6
Europe,,Eastern Europe,Bulgaria,8.2,50.6,48,612.5,1577.9,,4,5.3,112.7,100,100,6520314,3993692325,10288403461
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso,6.8,40.1,31.4,40.9,115.6,23.5,0.1,0.6,0.6,76.9,,21510181,879766402.9,2486576924
Africa,Sub-Saharan Africa,Eastern Africa,Burundi,6.2,29.1,30.5,18.5,50.3,38.6,0.1,0.7,0.4,83.5,,12574571,232629563.5,632500921.3
Asia,,South-eastern Asia,Cambodia,6.1,21.8,58.6,77.7,228.6,18.9,0.2,1,4.2,73.3,,15552211,1208406795,3555235435
Africa,Sub-Saharan Africa,Middle Africa,Cameroon,4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66,,24348251,1570462190,4122158894
North America,Northern America,Northern America,Canada,10.5,73.4,14.6,4458.2,4718.3,,2.6,9.9,43.9,100,100,39102318,174325954108,184496467019
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic,4.3,14.9,43.1,16.4,29.9,40.9,0.1,0.2,0.4,61,,5633412,92387956.8,168439018.8
Africa,Sub-Saharan Africa,Middle Africa,Chad,4.5,18.9,61.2,31.7,95,14.6,0,0.4,0.3,12,,16818391,533142994.7,1597747145
South America,Latin America and the Caribbean,South America,Chile,8.5,58.5,34.8,1190.5,2002,0,1.1,0.9,59.3,99,100,19828563,23605904252,39696783126
Asia,,Eastern Asia,China,5,58,35.9,398.3,761.5,0,1.8,2.3,40.1,,4,1411750000,562300025000,1075047625000
South America,Latin America and the Caribbean,South America,Colombia,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98,51049498,17377249119,42360873440
