ymd,usdbrl,bov
2022-1-3,5.6824,103.92159
2022-1-4,5.6776,103.51364
2022-1-5,5.709171,101.00564
2022-1-6,5.6839,101.56105
2022-1-7,5.6358,102.71947
2022-1-10,5.6635,101.9452
2022-1-11,5.5693,103.77898
2022-1-12,5.5347,105.68566
2022-1-13,5.5282,105.5295
2022-1-14,5.5349,106.92779
2022-1-17,5.5173,106.37387
2022-1-18,5.5672,106.66766
2022-1-19,5.4387,108.01347
2022-1-20,5.419845,109.10199
2022-1-21,5.4587,108.94168
2022-1-24,5.4876,107.93711
2022-1-25,5.444243,110.20377
2022-1-26,5.432726,111.28918
2022-1-27,5.407074,112.61165
2022-1-28,5.368113,111.9101
2022-1-31,5.3046,112.14351
2022-2-1,5.2662,113.22831
2022-2-2,5.2624,111.89436
2022-2-3,5.2844,111.69594
2022-2-4,5.3285,112.24494
2022-2-7,5.2638,111.9964
2022-2-8,5.26,112.23446
2022-2-9,5.236,112.46139
2022-2-10,5.2502,113.36777
2022-2-11,5.2534,113.57235
2022-2-14,5.2154,113.89919
2022-2-15,5.1594,114.82818
2022-2-16,5.1373,115.18095
2022-2-17,5.1721,113.52848
2022-2-18,5.139,112.87985
2022-2-21,5.1043,111.7253
2022-2-22,5.0586,112.8918
2022-2-23,5.01015,112.00761
2022-2-24,5.1237,111.59187
2022-2-25,5.163,113.14194
2022-3-2,5.100102,115.17361
2022-3-3,5.0324,115.16555
2022-3-4,5.062816,114.47378
2022-3-7,5.112,111.59346
2022-3-8,5.0604,111.20345
2022-3-9,5.0132,113.90034
2022-3-10,5.0112,113.66313
2022-3-11,5.075,111.71307
2022-3-14,5.1229,109.92762
2022-3-15,5.1647,108.9593
2022-3-16,5.0773,111.11243
2022-3-17,5.0407,113.07633
2022-3-18,5.02375,115.31091
2022-3-21,4.9365,116.15453
2022-3-22,4.9115,117.27244
2022-3-23,4.8257,117.45734
2022-3-24,4.8278,119.05291
2022-3-25,4.7432,119.08113
2022-3-28,4.7656,118.73778
2022-3-29,4.7577,120.01417
2022-3-30,4.7712,120.25976
2022-3-31,4.7393,119.99923
2022-4-1,4.658887,121.57015
2022-4-4,4.5953,121.27951
2022-4-5,4.6523,118.88515
2022-4-6,4.7167,118.22775
2022-4-7,4.7536,118.86212
2022-4-8,4.6996,118.32226
2022-4-11,4.6951,116.95285
2022-4-12,4.6746,116.14686
2022-4-13,4.6917,116.78196
2022-4-14,4.7025,116.18161
2022-4-18,4.6535,115.68725
2022-4-19,4.6665,115.05666
2022-4-20,4.6223,114.34378
2022-4-22,4.796678,111.07751
2022-4-25,4.8777,110.68495
2022-4-26,4.9993,108.21286
2022-4-27,4.9651,109.34937
2022-4-28,4.9393,109.91897
2022-4-29,4.97275,107.87616
2022-5-2,5.0862,106.63864
2022-5-3,4.96,106.52809
2022-5-4,4.9203,108.34374
2022-5-5,5.0295,105.30419
2022-5-6,5.0819,105.13473
2022-5-9,5.1624,103.25002
2022-5-10,5.1328,103.10994
2022-5-11,5.1381,104.3969
2022-5-12,5.1349,105.68764
2022-5-13,5.0598,106.92418
2022-5-16,5.0612,108.23274
2022-5-17,4.9396,108.78933
2022-5-18,4.969,106.24715
2022-5-19,4.9315,107.00522
2022-5-20,4.8817,108.48788
2022-5-23,4.815,110.34582
2022-5-24,4.8194,110.58079
2022-5-25,4.8243,110.57981
2022-5-26,4.7698,111.88988
2022-5-27,4.731,111.94168
2022-5-30,4.7536,111.03211
2022-5-31,4.7319,111.35051
2022-6-1,4.816904,111.35994
2022-6-2,4.7972,112.39291
2022-6-3,4.7746,111.10232
2022-6-6,4.7957,110.18591
2022-6-7,4.871265,110.06976
2022-6-8,4.8996,108.36767
2022-6-9,4.9048,107.09371
2022-6-10,4.985435,105.48123
2022-6-13,5.1149,102.59818
2022-6-14,5.1176,102.06325
2022-6-15,5.0535,102.80682
2022-6-17,5.1536,99.82494
